"switch","direction","distance","weight","switch_activation","test_num"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.92","39.69943019943021","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.93","39.796866096866104","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.94","39.77378917378918","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.94","39.768660968660974","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.96","39.50712250712252","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.97","39.758404558404564","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.98","39.899430199430206","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.98","39.778917378917384","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","1.99","39.81225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2","40.16353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.01","40.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.02","40.62250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.03","41.01225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.04","40.945584045584056","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.05","41.15071225071226","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.06","41.12507122507123","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.07","46.360968660968666","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.09","41.27122507122508","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.09","41.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.1","40.97635327635329","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.11","41.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.12","41.10968660968662","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.13","41.51994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.14","41.47635327635329","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.15","41.319943019943025","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.16","41.758404558404564","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.17","42.03789173789175","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.18","42.25584045584046","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.18","42.55071225071226","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.2","42.60199430199431","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.2","42.914814814814825","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.22","42.65327635327636","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.23","42.52763532763534","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.24","43.06353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.25","42.96353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.26","43.1917378917379","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.27","43.11737891737893","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.28","43.65327635327636","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.28","43.866096866096875","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.29","43.9866096866097","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.3","44.14814814814816","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.31","44.11994301994303","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.32","43.896866096866106","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.33","43.76609686609687","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.34","43.907122507122516","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.35","44.01481481481483","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.36","44.3917378917379","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.37","44.57378917378918","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.38","44.74301994301995","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.39","44.75327635327636","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.4","44.92250712250713","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.41","44.81225071225072","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.42","45.04814814814816","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.43","45.330199430199436","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.44","45.76353276353277","0","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.45","46.49943019943021","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.46","47.23019943019944","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.47","51.61225071225072","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.48","48.809686609686615","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.49","49.47891737891739","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.5","50.17635327635328","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.51","50.5917378917379","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.51","51.25071225071226","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.53","51.94814814814816","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.53","52.77122507122508","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.54","53.353276353276364","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.55","53.837891737891745","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.56","54.51481481481483","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.57","55.14045584045585","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.58","55.4866096866097","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.58","56.07635327635329","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.59","56.360968660968666","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.6","56.22507122507123","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.61","56.314814814814824","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.62","56.53532763532765","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.63","56.6968660968661","1","1"
"Frankenswitch Holy Panda lubed with Krytox 205g0","compressing","2.63","57.00712250712252","1","1"
